agent,tool_signature,turns_total,cache_hits,cache_hit_pct,executed_requests,num_instances
Planner,LLM_ONLY,228,69,30.263157894736842,159,10
Inner-Navigator-Assistant,open_file,164,62,37.80487804878049,102,10
Inner-Editor-Assistant,open_file_gen,146,49,33.56164383561644,97,10
Inner-Executor-Assistant,LLM_ONLY,38,19,50.0,19,7
Inner-Navigator-Assistant,LLM_ONLY,76,17,22.36842105263158,59,10
Inner-Executor-Assistant,python,37,14,37.83783783783784,23,7
Inner-Navigator-Assistant,python_exec,24,14,58.333333333333336,10,4
Inner-Navigator-Assistant,get_folder_structure,40,13,32.5,27,9
Inner-Editor-Assistant,editor,51,11,21.568627450980394,40,10
Inner-Editor-Assistant,LLM_ONLY,21,7,33.33333333333333,14,9
Inner-Navigator-Assistant,open_file_gen,11,5,45.45454545454545,6,1
Inner-Navigator-Assistant,code_search,19,4,21.052631578947366,15,8
Inner-Navigator-Assistant,get_all_symbols,12,4,33.33333333333333,8,3
Inner-Executor-Assistant,git,8,4,50.0,4,1
Inner-Executor-Assistant,echo,15,3,20.0,12,5
Inner-Editor-Assistant,get_folder_structure,7,2,28.57142857142857,5,2
Inner-Executor-Assistant,./setup.py,4,2,50.0,2,1
Inner-Executor-Assistant,pytest,3,2,66.66666666666666,1,1
Inner-Navigator-Assistant,find_file,3,1,33.33333333333333,2,2
Inner-Executor-Assistant,cat,2,1,50.0,1,1
Inner-Executor-Assistant,ls,2,1,50.0,1,1
Inner-Executor-Assistant,python3,8,0,0.0,8,2
Inner-Editor-Assistant,python_exec,6,0,0.0,6,4
Inner-Executor-Assistant,export,2,0,0.0,2,1
Inner-Editor-Assistant,go_to_def,1,0,0.0,1,1
Inner-Editor-Assistant,python,1,0,0.0,1,1
Planner,python_exec,1,0,0.0,1,1
