tool_signature,turns_total,cache_hits,cache_hit_pct,executed_requests,num_instances,agents
LLM_ONLY,363,112,30.853994490358126,251,10,"Inner-Editor-Assistant,Inner-Executor-Assistant,Inner-Navigator-Assistant,Planner"
open_file,164,62,37.80487804878049,102,10,Inner-Navigator-Assistant
open_file_gen,157,54,34.394904458598724,103,10,"Inner-Editor-Assistant,Inner-Navigator-Assistant"
get_folder_structure,47,15,31.914893617021278,32,9,"Inner-Editor-Assistant,Inner-Navigator-Assistant"
python,38,14,36.84210526315789,24,7,"Inner-Editor-Assistant,Inner-Executor-Assistant"
python_exec,31,14,45.16129032258064,17,5,"Inner-Editor-Assistant,Inner-Navigator-Assistant,Planner"
editor,51,11,21.568627450980394,40,10,Inner-Editor-Assistant
code_search,19,4,21.052631578947366,15,8,Inner-Navigator-Assistant
get_all_symbols,12,4,33.33333333333333,8,3,Inner-Navigator-Assistant
git,8,4,50.0,4,1,Inner-Executor-Assistant
echo,15,3,20.0,12,5,Inner-Executor-Assistant
./setup.py,4,2,50.0,2,1,Inner-Executor-Assistant
pytest,3,2,66.66666666666666,1,1,Inner-Executor-Assistant
find_file,3,1,33.33333333333333,2,2,Inner-Navigator-Assistant
cat,2,1,50.0,1,1,Inner-Executor-Assistant
ls,2,1,50.0,1,1,Inner-Executor-Assistant
python3,8,0,0.0,8,2,Inner-Executor-Assistant
export,2,0,0.0,2,1,Inner-Executor-Assistant
go_to_def,1,0,0.0,1,1,Inner-Editor-Assistant
